Brand,Name,Phone,Address,City,Latitude,Longitude
Dell,TVS Electronics LTD,9176614954,"Parson Complex, 600, Anna Salai, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu - 600006",Chennai,13.0631,80.2619
Dell,GBS Systems & Service Pvt Ltd,9841603302,"5/357, Old Mahabalipuram Road, Near Hotel Formula 1, Thoraipakkam, Chennai, Tamil Nadu - 600097",Chennai,12.9254,80.2269
Dell,GBS Systems & Service Pvt Ltd,9841603545,"87/5, Plot No 24, Amsaveni complex, Velachery Bypass Rd, Rajalakshmi Nagar, Velachery, Chennai - 600042",Chennai,12.9722,80.2206
Dell,M/S Regenersis Pvt Ltd,044-42855091,"9/7, Azeezya Complex, 1st Fl, Mc Nechols Rd, Opp Chetpet Police Station, Chennai - 600031",Chennai,13.0723,80.2461
Dell,M/S Regenersis Pvt Ltd,9500084383,"4, Ceebros Centre, No45, Montieth Rd, 3rd Fl, Egmore, Chennai - 600008",Chennai,13.0741,80.2635
Dell,Dell Service Center Tambaram,7299956830,"No.29/4A, Gandhi Rd, West Tambaram, Near LKS Jewellers, Chennai - 600045",Chennai,12.9260,80.1171
HP,Sysnet Global Technologies,044-42088513,"2nd Fl, Arathi Bldg, New No.9, New Tank St, Near Valluvar Kottam, Nungambakkam, Chennai - 600034",Chennai,13.0554,80.2397
HP,Wipro Limited,9812133881,"41/14, Shree Essarar Towers, Venkata Narayana Rd, T Nagar, Chennai - 600017",Chennai,13.0383,80.2356
HP,Precision Infomatic,044 4355 3114,"22, 1st Fl, Habibullah Rd, T Nagar, Chennai - 600017",Chennai,13.0424,80.2335
HP,HP World (MS Technologies),8657568976,"No. 7, Rangasamy Complex GST Road, Chengalpattu, Tamil Nadu - 603001",Chengalpattu,12.6873,79.9879
HP,HP Service Center Tambaram,7299956830,"No.29/4A, Gandhi Rd, West Tambaram, Near LKS Jewellers, Chennai - 600045",Chennai,12.9260,80.1171
Lenovo,Lenovo Service Centre Adyar,044-42154348,"1, 3D, Vantage Plaza LB & MG Rd, Thiruvanmiyur, Near Adyar, Chennai - 600041",Chennai,12.9840,80.2535
Lenovo,Lenovo Service Centre Anna Nagar,9600091144,"Shop No 32, JJ Complex, 100 Feet Rd, Annanagar West, Chennai - 600040",Chennai,13.1001,80.2170
Lenovo,Lenovo Service T.Nagar,9176438006,"#2, North Usman Rd, T.Nagar, Near Kodambakkam Bridge, Chennai - 600017",Chennai,13.0391,80.2345
Lenovo,Lenovo Service Thoraipakkam,9551000773,"3/362, OMR, Anand Nagar, Mettukuppam, Thoraipakkam, Chennai - 600097",Chennai,12.9322,80.2252
Lenovo,Lenovo Service Velachery,9962604525,"Plot No:3, New No. 189, 100 Feet Bye Pass Rd, Velachery, Chennai - 600042",Chennai,12.9725,80.2204
Lenovo,Lenovo Service Tambaram,7299956832,"29/4A, Gandhi Rd, West Tambaram, Chennai - 600045",Chennai,12.9260,80.1171
Acer,CMS IT Services Pvt Ltd,9884980461,"2nd Fl, No.478, Poonamallee High Rd, Arumbakkam, Chennai, Tamil Nadu - 600058",Chennai,13.0827,80.2103
Acer,Ever-Excellent Services,+91 9962604525,"29, West Sivan Koil St, Vadapalani, Chennai - 600026",Chennai,13.0487,80.2138
Acer,Fox Plus Computers,9841663348,"127A, Thiruvenkatapuram II St, Choolaimedu, Chennai - 600094",Chennai,13.0664,80.2282
Acer,Ram Infotech,9841983642,"No. 217, Old MTH Rd, Venkatapuram, Ambattur, Chennai, TamilNadu - 600053",Chennai,13.1035,80.1599
Acer,GB Systems Adyar,9841663348,"60, 2, Lattice Brg Rd, Venkata Rathinam Nagar, Adyar, Chennai - 600020",Chennai,13.0131,80.2558
Acer,Acer Thoraipakkam,9841603332,"#5/357, Old Mahabalipuram Rd, Near Hotel Formula 1, Thoraipakkam, Chennai - 600097",Chennai,12.9254,80.2269
Acer,Runwell Technics,7678147010,"Abiramapuram, Anna Nagar, Chindatripet, and more locations in Chennai",Chennai,,
